iter	Passed	Remaining
219	15241	54036
220	15317	53993
221	15395	53955
222	15467	53893
223	15540	53835
224	15601	53738
225	15674	53681
226	15750	53633
227	15834	53616
228	15935	53651
229	16004	53580
230	16082	53537
231	16142	53436
232	16213	53372
233	16284	53308
234	16357	53247
235	16433	53200
236	16501	53124
237	16568	53047
238	16638	52979
239	16704	52897
240	16777	52837
241	16857	52801
242	16926	52730
243	16986	52631
244	17056	52562
245	17123	52483
246	17188	52399
247	17253	52318
248	17317	52231
249	17388	52166
250	17458	52096
251	17526	52023
252	17593	51945
253	17662	51875
254	17733	51808
255	17795	51719
256	17846	51593
257	17902	51486
258	17987	51461
259	18065	51417
260	18143	51372
261	18215	51308
262	18295	51269
263	18364	51197
264	18435	51131
265	18503	51059
266	18571	50985
267	18635	50900
268	18688	50784
269	18758	50718
270	18826	50644
271	18898	50582
272	18965	50505
273	19037	50442
274	19111	50383
275	19183	50322
276	19276	50314
277	19383	50341
278	19463	50297
279	19545	50260
280	19624	50214
281	19690	50133
282	19768	50083
283	19831	49998
284	19898	49921
285	19980	49881
286	20032	49767
287	20086	49658
288	20140	49550
289	20193	49439
290	20253	49346
291	20342	49323
292	20410	49250
293	20476	49170
294	20548	49108
295	20622	49047
296	20696	48988
297	20771	48932
298	20839	48856
299	20904	48776
300	20961	48678
301	21028	48601
302	21095	48526
303	21147	48417
304	21199	48306
305	21271	48244
306	21348	48190
307	21416	48117
308	21484	48044
309	21557	47982
310	21627	47913
311	21689	47829
312	21743	47724
313	21806	47641
314	21873	47565
315	21927	47463
316	21992	47384
317	22055	47300
318	22122	47226
319	22185	47143
320	22242	47048
321	22306	46968
322	22363	46873
323	22431	46802
324	22499	46729
325	22565	46654
326	22630	46576
327	22694	46496
328	22756	46412
329	22826	46344
330	22892	46268
331	22963	46203
332	23026	46121
333	23075	46013
334	23132	45920
335	23203	45853
336	23270	45781
337	23333	45700
338	23404	45634
339	23459	45538
340	23520	45454
341	23579	45366
342	23634	45270
343	23693	45182
344	23751	45093
345	23820	45024
346	23877	44934
347	23932	44839
348	24002	44772
349	24064	44691
350	24127	44611
351	24185	44523
352	24243	44435
353	24317	44375
354	24386	44308
355	24452	44234
356	24520	44163
357	24583	44085
358	24639	43995
359	24704	43919
360	24780	43863
361	24846	43789
362	24907	43707
363	24980	43647
364	25047	43576
365	25121	43516
366	25184	43438
367	25252	43368
368	25315	43290
369	25390	43232
370	25455	43157
371	25521	43084
372	25585	43009
373	25654	42940
374	25718	42864
375	25784	42790
376	25847	42713
377	25909	42634
378	25982	42572
379	26040	42486
380	26105	42412
381	26172	42341
382	26237	42267
383	26305	42198
384	26366	42117
385	26427	42036
386	26484	41950
387	26550	41879
388	26618	41809
389	26681	41731
390	26740	41649
391	26805	41575
392	26869	41501
393	26932	41423
394	26992	41343
395	27046	41253
396	27097	41157
397	27159	41081
398	27227	41012
399	27294	40941
400	27356	40863
401	27420	40789
402	27483	40713
403	27548	40640
404	27611	40564
405	27675	40490
406	27732	40407
407	27801	40339
408	27870	40271
409	27926	40187
410	27993	40117
411	28057	40043
412	28127	39977
413	28216	39938
414	28291	39880
415	28355	39806
416	28422	39737
417	28482	39657
418	28545	39582
419	28610	39510
420	28673	39434
421	28747	39374
422	28817	39309
423	28887	39243
424	28963	39185
425	29026	39110
426	29093	39041
427	29160	38971
428	29225	38899
429	29289	38826
430	29359	38760
431	29434	38700
432	29503	38633
433	29575	38571
434	29627	38482
435	29688	38404
436	29748	38325
437	29814	38255
438	29886	38191
439	29940	38106
440	29996	38023
441	30046	37931
442	30095	37840
443	30148	37753
444	30203	37669
445	30274	37605
446	30339	37533
447	30406	37464
448	30479	37403
449	30543	37331
450	30607	37258
451	30669	37183
452	30730	37107
453	30790	37030
454	30850	36952
455	30914	36880
456	30971	36799
457	31023	36713
458	31075	36626
459	31138	36554
460	31196	36474
461	31268	36412
462	31334	36342
463	31396	36268
464	31468	36205
465	31533	36135
466	31598	36064
467	31663	35993
468	31729	35924
469	31787	35845
470	31849	35771
471	31913	35699
472	31974	35624
473	32031	35545
474	32093	35471
475	32156	35399
476	32220	35328
477	32286	35258
478	32351	35188
479	32424	35126
480	32490	35056
481	32538	34968
482	32586	34880
483	32633	34790
484	32719	34743
485	32790	34679
486	32866	34621
487	32926	34545
488	33003	34488
489	33068	34418
490	33129	34343
491	33193	34272
492	33257	34201
493	33323	34132
494	33383	34058
495	33449	33989
496	33499	33903
497	33559	33829
498	33621	33756
499	33689	33689
500	33755	33620
501	33809	33540
502	33853	33449
503	33901	33363
504	33953	33281
505	34021	33215
506	34090	33149
507	34164	33088
508	34230	33019
509	34294	32949
510	34356	32877
511	34418	32805
512	34483	32735
513	34548	32666
514	34604	32588
515	34658	32509
516	34721	32437
517	34789	32371
518	34842	32291
519	34906	32221
520	34977	32158
521	35044	32090
522	35102	32014
523	35171	31949
524	35240	31884
525	35312	31821
526	35376	31751
527	35447	31687
528	35516	31622
529	35584	31556
530	35652	31489
531	35727	31429
532	35800	31367
533	35868	31301
534	35932	31231
535	35991	31156
536	36052	31084
537	36112	31011
538	36179	30943
539	36252	30881
540	36313	30809
541	36362	30726
542	36411	30644
543	36475	30575
544	36523	30492
545	36573	30410
546	36635	30340
547	36702	30273
548	36770	30206
549	36841	30142
550	36913	30079
551	36983	30015
552	37052	29950
553	37123	29886
554	37181	29812
555	37247	29744
556	37314	29677
557	37380	29609
558	37443	29539
559	37516	29477
560	37589	29414
561	37661	29352
562	37745	29298
563	37821	29237
564	37873	29159
565	37926	29081
566	37985	29008
567	38044	28935
568	38093	28854
569	38170	28795
570	38251	28739
571	38368	28709
572	38435	28642
573	38506	28578
574	38570	28508
575	38633	28438
576	38717	28383
577	38805	28332
578	38879	28270
579	38947	28203
580	39015	28137
581	39084	28071
582	39157	28007
583	39223	27939
584	39295	27876
585	39367	27812
586	39443	27751
587	39508	27682
588	39575	27615
589	39640	27547
590	39706	27478
591	39756	27400
592	39833	27339
593	39928	27291
594	40022	27242
595	40095	27178
596	40159	27109
597	40237	27049
598	40309	26985
599	40381	26920
600	40443	26850
601	40505	26779
602	40563	26705
603	40625	26635
604	40685	26563
605	40744	26490
606	40811	26423
607	40874	26353
608	40932	26279
609	41004	26215
610	41073	26149
611	41138	26081
612	41205	26013
613	41270	25945
614	41340	25879
615	41418	25819
616	41491	25755
617	41553	25685
618	41613	25613
619	41664	25536
620	41738	25473
621	41809	25408
622	41880	25343
623	41944	25274
624	42008	25205
625	42069	25133
626	42134	25065
627	42196	24995
628	42262	24927
629	42343	24868
630	42416	24804
631	42474	24732
632	42548	24668
633	42607	24596
634	42667	24525
635	42739	24460
636	42811	24396
637	42876	24327
638	42948	24263
639	43027	24202
640	43086	24131
641	43155	24065
642	43229	24001
643	43289	23930
644	43368	23869
645	43438	23803
646	43511	23739
647	43583	23674
648	43653	23609
649	43726	23544
650	43799	23481
651	43866	23413
652	43931	23344
653	43999	23277
654	44061	23208
655	44142	23148
656	44216	23083
657	44290	23020
658	44349	22948
659	44413	22879
660	44475	22809
661	44539	22740
662	44604	22672
663	44670	22604
664	44742	22539
665	44810	22472
666	44872	22402
667	44939	22335
668	45017	22273
669	45077	22202
670	45154	22139
671	45234	22078
672	45302	22011
673	45381	21950
674	45437	21877
675	45521	21817
676	45584	21748
677	45652	21681
678	45725	21616
679	45797	21551
680	45857	21480
681	45916	21409
682	45983	21342
683	46050	21274
684	46114	21205
685	46171	21133
686	46240	21067
687	46310	21001
688	46366	20929
689	46433	20861
690	46496	20792
691	46565	20725
692	46632	20658
693	46690	20586
694	46749	20516
695	46807	20444
696	46871	20375
697	46940	20309
698	47010	20243
699	47099	20185
700	47170	20119
701	47229	20049
702	47305	19985
703	47396	19928
704	47496	19874
705	47559	19805
706	47608	19730
707	47659	19656
708	47716	19584
709	47766	19510
710	47824	19439
711	47899	19375
712	47968	19308
713	48035	19240
714	48118	19180
715	48196	19117
716	48269	19052
717	48350	18989
718	48409	18919
719	48474	18851
720	48549	18786
721	48630	18724
722	48694	18656
723	48771	18592
724	48826	18520
725	48876	18446
726	48935	18375
727	48986	18302
728	49053	18235
729	49122	18168
730	49187	18100
731	49250	18031
732	49328	17968
733	49396	17901
734	49467	17835
735	49541	17770
736	49609	17703
737	49672	17634
738	49729	17563
739	49798	17496
740	49863	17428
741	49930	17361
742	50001	17295
743	50061	17225
744	50135	17160
745	50214	17097
746	50284	17030
747	50360	16966
748	50426	16898
749	50487	16829
750	50562	16764
751	50638	16700
752	50712	16634
753	50774	16565
754	50833	16495
755	50892	16425
756	50959	16358
757	51016	16287
758	51088	16221
759	51160	16155
760	51226	16088
761	51297	16021
762	51362	15954
763	51433	15887
764	51499	15820
765	51578	15756
766	51651	15690
767	51723	15624
768	51790	15557
769	51858	15490
770	51941	15427
771	52013	15361
772	52090	15296
773	52154	15228
774	52215	15159
775	52279	15091
776	52343	15022
777	52414	14956
778	52482	14889
779	52547	14820
780	52607	14751
781	52675	14684
782	52731	14613
783	52791	14544
784	52852	14475
785	52906	14404
786	52956	14332
787	53009	14261
788	53062	14190
789	53135	14124
790	53197	14055
791	53254	13986
792	53303	13914
793	53360	13844
794	53424	13776
795	53490	13708
796	53553	13640
797	53620	13573
798	53674	13502
799	53723	13430
800	53787	13362
801	53851	13294
802	53925	13229
803	53974	13158
804	54022	13086
805	54070	13014
806	54128	12945
807	54181	12874
808	54249	12807
809	54322	12742
810	54384	12674
811	54446	12605
812	54507	12537
813	54559	12466
814	54617	12397
815	54669	12327
816	54722	12257
817	54774	12186
818	54826	12116
819	54884	12047
820	54952	11981
821	55029	11916
822	55117	11853
823	55185	11787
824	55253	11720
825	55317	11652
826	55370	11582
827	55434	11515
828	55499	11448
829	55560	11379
830	55617	11310
831	55676	11242
832	55738	11174
833	55798	11106
834	55858	11037
835	55935	10973
836	56013	10908
837	56074	10840
838	56142	10773
839	56207	10706
840	56258	10636
841	56311	10566
842	56358	10496
843	56415	10427
844	56469	10358
845	56542	10292
846	56610	10226
847	56680	10159
848	56740	10091
849	56787	10021
850	56848	9953
851	56902	9884
852	56970	9817
853	57034	9750
854	57094	9682
855	57164	9616
856	57232	9549
857	57312	9485
858	57429	9426
859	57526	9364
860	57624	9302
861	57695	9236
862	57760	9169
863	57817	9100
864	57916	9038
865	57986	8972
866	58050	8905
867	58120	8838
868	58183	8771
869	58248	8703
870	58317	8637
871	58390	8571
872	58468	8505
873	58543	8439
874	58617	8373
875	58688	8307
876	58744	8238
877	58805	8171
878	58878	8105
879	58942	8037
880	59005	7970
881	59070	7902
882	59133	7835
883	59204	7768
884	59267	7701
885	59333	7634
886	59396	7566
887	59464	7500
888	59522	7431
889	59577	7363
890	59646	7296
891	59706	7229
892	59770	7161
893	59838	7094
894	59899	7027
895	59964	6960
896	60025	6892
897	60097	6826
898	60160	6758
899	60226	6691
900	60292	6624
901	60359	6557
902	60421	6490
903	60484	6423
904	60552	6356
905	60618	6289
906	60684	6222
907	60753	6155
908	60817	6088
909	60875	6020
910	60949	5954
911	61017	5887
912	61090	5821
913	61151	5753
914	61214	5686
915	61283	5619
916	61345	5552
917	61404	5484
918	61469	5417
919	61537	5351
920	61610	5284
921	61678	5217
922	61745	5151
923	61814	5084
924	61879	5017
925	61946	4950
926	62007	4882
927	62072	4815
928	62142	4749
929	62212	4682
930	62277	4615
931	62341	4548
932	62398	4480
933	62470	4414
934	62520	4346
935	62570	4278
936	62627	4210
937	62692	4143
938	62804	4079
939	62876	4013
940	62953	3947
941	63042	3881
942	63111	3814
943	63182	3748
944	63256	3681
945	63331	3615
946	63400	3548
947	63461	3480
948	63530	3414
949	63592	3346
950	63660	3280
951	63725	3213
952	63788	3145
953	63849	3078
954	63916	3011
955	63981	2944
956	64034	2877
957	64099	2810
958	64168	2743
959	64252	2677
960	64321	2610
961	64389	2543
962	64461	2476
963	64527	2409
964	64600	2343
965	64671	2276
966	64732	2209
967	64789	2141
968	64849	2074
969	64922	2007
970	64992	1941
971	65053	1873
972	65119	1807
973	65183	1740
974	65252	1673
975	65300	1605
976	65348	1538
977	65399	1471
978	65468	1404
979	65535	1337
980	65599	1270
981	65665	1203
982	65722	1136
983	65780	1069
984	65854	1002
985	65919	935
986	65989	869
987	66052	802
988	66110	735
989	66175	668
990	66238	601
991	66304	534
992	66376	467
993	66443	401
994	66505	334
995	66574	267
996	66647	200
997	66709	133
998	66769	66
999	66832	0
